iter	RMSE
0	519.7510989
1	501.3019396
2	484.0223241
3	468.1944865
4	453.4488377
5	439.7471967
6	426.9214372
7	415.7590718
8	404.455291
9	393.8542647
10	383.998147
11	374.881733
12	366.1336735
13	358.3449546
14	350.3889564
15	342.5166063
16	336.0279532
17	329.6524179
18	323.114778
19	317.7133789
20	312.3071669
21	307.0134459
22	302.6703049
23	298.7087204
24	294.7011599
25	290.7839879
26	287.4421708
27	283.8960158
28	280.7733074
29	278.0169555
30	275.3745877
31	272.6630985
32	269.6730594
33	267.3447062
34	265.45781
35	263.2714538
36	261.0670812
37	258.966845
38	256.4008217
39	254.6247676
40	252.987618
41	251.4520701
42	250.1331579
43	248.5935812
44	247.456124
45	246.2136738
46	245.1471094
47	244.1656046
48	243.2763748
49	242.053637
50	240.6192909
51	239.7692175
52	238.1120498
53	236.7910861
54	235.7706611
55	235.0406425
56	234.2237173
57	233.4750791
58	232.473601
59	231.6398451
60	231.1796986
61	230.3990431
62	229.8083289
63	228.7503225
64	227.8943878
65	226.8642874
66	226.0967101
67	225.3490359
68	224.2958317
69	223.7656608
70	223.2412892
71	222.5165952
72	222.0910407
73	221.3461042
74	220.9744254
75	220.1475718
76	219.7866591
77	219.22542
78	218.5422962
79	217.7136428
80	217.3214262
81	216.9617543
82	216.3272702
83	215.5407142
84	214.8348233
85	214.5068152
86	214.0996152
87	213.6621887
88	213.2341411
89	212.7382818
90	212.4691217
91	212.007557
92	211.6195192
93	211.0588148
94	210.740465
95	210.4056255
96	209.8495222
97	209.5130356
98	208.997651
99	208.5788855
100	208.150198
101	207.7279474
102	207.2509468
103	206.8230015
104	206.5281345
105	206.2772723
106	206.0678668
107	205.6176768
108	205.2428501
109	204.795299
110	204.6320625
111	204.0730132
112	203.8302985
113	203.5999016
114	203.3385771
115	203.0310174
116	202.7642561
117	202.48991
118	202.2656944
119	202.0379283
120	201.707325
121	201.2833112
122	201.1253911
123	200.8018393
124	200.3877275
125	200.0076092
126	199.6477895
127	199.2765717
128	199.1041396
129	198.8099712
130	198.5047443
131	198.2379838
132	197.9080673
133	197.6763963
134	197.3641601
135	197.2140389
136	196.8491394
137	196.5715759
138	196.1583637
139	195.7069863
140	195.4625953
141	195.1885975
142	194.9325868
143	194.773714
144	194.5092366
145	194.2183476
146	193.8470498
147	193.5506252
148	193.2490204
149	193.07925
150	192.7723963
151	192.5426967
152	192.2800115
153	192.0269298
154	191.7820779
155	191.5500232
156	191.2709984
157	191.0469605
158	190.7870374
159	190.4960772
160	190.3501146
161	190.0271819
162	189.7669397
163	189.5589859
164	189.3601636
165	189.2927199
166	189.152146
167	188.9674514
168	188.8441084
169	188.602246
170	188.2654731
171	188.011237
172	187.8551097
173	187.5494494
174	187.1889311
175	186.8453301
176	186.7199722
177	186.5609761
178	186.2664119
179	185.9104722
180	185.5878705
181	185.413294
182	185.1594952
183	185.0159288
184	184.8105517
185	184.497502
186	184.2568041
187	183.9752031
188	183.5064235
189	183.374123
190	183.1685298
191	182.8238855
192	182.6049549
193	182.2343336
194	182.0370983
195	181.8492858
196	181.5796696
197	181.3743374
198	180.9950954
199	180.7515193
200	180.486245
201	180.2160267
202	179.9208944
203	179.7198081
204	179.5437044
205	179.36028
206	179.1305818
207	178.8226612
208	178.6418348
209	178.3998791
210	178.1222948
211	177.905704
212	177.7513585
213	177.50114
214	177.3220939
215	177.1433284
216	176.9197153
217	176.6637782
218	176.5010112
219	176.3545643
220	176.1365993
221	175.9363993
222	175.7758639
223	175.5663079
224	175.3530395
225	175.1026347
226	174.9007947
227	174.7072425
228	174.5430636
229	174.3968453
230	174.2118365
231	174.0377503
232	173.7708151
233	173.5831184
234	173.3900069
235	173.2987391
236	173.157542
237	172.9717279
238	172.7858756
239	172.6536339
240	172.4349624
241	172.2841893
242	172.0548815
243	171.8586633
244	171.6991884
245	171.5394477
246	171.3511094
247	171.124889
248	170.8929472
249	170.7242545
250	170.564363
251	170.3588499
252	170.1486768
253	170.0245587
254	169.8194798
255	169.743618
256	169.6080597
257	169.4731485
258	169.3555954
259	169.1361291
260	168.968202
261	168.7818712
262	168.5816738
263	168.4500299
264	168.332197
265	168.1685357
266	168.0424598
267	167.9275826
268	167.8442218
269	167.7774035
270	167.5837606
271	167.4516926
272	167.302828
273	167.1975678
274	167.0795774
275	167.0010666
276	166.8805978
277	166.7327259
278	166.4869531
279	166.3514772
280	166.2583498
281	166.1541806
282	165.9956456
283	165.7989635
284	165.6879032
285	165.6282748
286	165.4954961
287	165.328348
288	165.2394835
289	165.0314849
290	164.8902259
291	164.8083266
292	164.6682976
293	164.564451
294	164.4171132
295	164.3102521
296	164.1591647
297	164.0746929
298	163.9736388
299	163.8770565
300	163.7880617
301	163.6830874
302	163.5780335
303	163.4251076
304	163.2724397
305	163.1673613
306	163.090762
307	162.906399
308	162.8068383
309	162.6567772
310	162.5495155
311	162.3816369
312	162.3174391
313	162.1196853
314	162.0483808
315	161.8376869
316	161.7840083
317	161.600196
318	161.4551333
319	161.2728059
320	161.1553865
321	160.9970432
322	160.8503365
323	160.7702655
324	160.6517201
325	160.5420244
326	160.3988828
327	160.246731
328	160.1746432
329	160.0127841
330	159.9034311
331	159.8600266
332	159.752212
333	159.6146657
334	159.4662051
335	159.3796944
336	159.2955878
337	159.1135829
338	159.0384333
339	158.9048623
340	158.7947881
341	158.598888
342	158.5119974
343	158.3861994
344	158.1480982
345	158.0291463
346	157.9107343
347	157.792834
348	157.6582469
349	157.5603796
350	157.5047254
351	157.4397903
352	157.4177844
353	157.3339176
354	157.2060522
355	157.1590317
356	157.0734404
357	156.9764813
358	156.7987056
359	156.7053417
360	156.6038687
361	156.5178898
362	156.4735355
363	156.3299145
364	156.1879854
365	156.092074
366	156.0323132
367	155.9600641
368	155.8290458
369	155.7376644
370	155.6537573
371	155.5018504
372	155.4057932
373	155.2542226
374	155.1812722
375	155.0352369
376	154.9442801
377	154.836657
378	154.7036799
379	154.6202546
380	154.4290546
381	154.3153682
382	154.2263361
383	154.1018584
384	153.9998041
385	153.8680542
386	153.8273705
387	153.6414805
388	153.5487524
389	153.4338273
390	153.348525
391	153.2870184
392	153.218428
393	153.1286343
394	153.0657846
395	152.9778501
396	152.8270847
397	152.7077109
398	152.5967567
399	152.5135967
400	152.4233542
401	152.3599541
402	152.235084
403	152.1502209
404	152.0643435
405	151.9957103
406	151.8844466
407	151.7586621
408	151.6083874
409	151.5349638
410	151.4691501
411	151.3979928
412	151.2178545
413	151.095441
414	151.0252039
415	150.9075455
416	150.8271341
417	150.7541033
418	150.6828016
419	150.6093452
420	150.5716494
421	150.4769235
422	150.402377
423	150.364772
424	150.3155619
425	150.2327948
426	150.1202903
427	150.063334
428	149.9342211
429	149.8698963
430	149.7885249
431	149.7209671
432	149.6016418
433	149.4896089
434	149.4182921
435	149.3121539
436	149.2144198
437	149.1404701
438	149.0378428
439	148.9225693
440	148.8618313
441	148.7963023
442	148.6558149
443	148.579592
444	148.4974674
